                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.097,                 3.0953,                  1.808,                0.97315,                0.59033,                0.87955,                0.67122,                 0.8399,                  3.012,                 1.3315,             0.00038341,             0.00038341,             0.00038341
                      2,                 1.0469,                 2.3834,                 1.6776,                0.67269,                0.68451,                0.88071,                0.53555,                 1.0801,                 2.8893,                 1.7761,             0.00070592,             0.00070592,             0.00070592
                      3,                 1.1153,                 2.1684,                 1.7263,                0.77436,                0.82546,                0.96643,                0.61976,                 1.1547,                 2.7912,                 1.7044,             0.00094922,             0.00094922,             0.00094922
                      4,                 1.0705,                 2.0609,                 1.7116,                0.85145,                0.87189,                0.90643,                0.66719,                0.96281,                 2.6187,                 1.4741,              0.0011133,              0.0011133,              0.0011133
                      5,                 1.0397,                 1.9644,                 1.6347,                0.73139,                0.96741,                 0.9077,                0.67802,                0.92767,                  2.414,                 1.4581,              0.0010069,              0.0010069,              0.0010069
                      6,                0.99771,                 1.8009,                 1.5712,                0.79769,                      1,                0.94643,                0.67341,                 1.0117,                 2.0273,                 1.4409,             0.00084184,             0.00084184,             0.00084184
                      7,                0.95281,                 1.6782,                 1.4734,                0.91281,                      1,                  0.995,                0.77806,                0.86763,                 1.8084,                 1.3329,              0.0006768,              0.0006768,              0.0006768
                      8,                0.92196,                 1.5708,                 1.4641,                0.90767,                 0.9744,                0.96167,                0.71346,                0.93876,                 1.6612,                 1.4475,             0.00051177,             0.00051177,             0.00051177
                      9,                0.87659,                 1.4865,                 1.4546,                      1,                0.96609,                  0.995,                 0.7876,                0.75904,                 1.6272,                 1.2795,             0.00034674,             0.00034674,             0.00034674
                     10,                 0.8351,                 1.4713,                 1.3938,                0.98482,                      1,                  0.995,                0.79503,                0.71853,                 1.5716,                  1.225,              0.0001817,              0.0001817,              0.0001817
