                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83184,                 3.1929,                 1.4053,                0.00358,                      1,                0.25073,                0.18845,                 0.2334,                 3.4301,                0.91695,              5.001e-05,              5.001e-05,              5.001e-05
                      1,                0.83184,                 3.1929,                 1.4053,                0.00358,                      1,                0.25073,                0.18845,                 0.2334,                 3.4301,                0.91695,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                0.67206,                 2.8651,                 1.2795,                0.00346,                      1,                0.85375,                0.77011,                 0.2956,                 3.3992,                 0.8971,             0.00011438,             0.00011438,             0.00011438
                      3,                0.68046,                  2.344,                 1.2022,                0.00341,                      1,                0.81733,                0.72358,                0.32562,                  3.132,                 0.9285,             0.00017611,             0.00017611,             0.00017611
                      4,                0.63954,                 1.9182,                 1.1845,                0.94456,                0.28571,                0.83895,                0.70717,                0.46123,                 3.0157,                 1.0544,              0.0002352,              0.0002352,              0.0002352
                      5,                0.68311,                 1.6567,                 1.2235,                0.83785,                0.15059,                0.79739,                0.68677,                0.41852,                 3.0678,                0.98723,             0.00029164,             0.00029164,             0.00029164
                      6,                 0.7062,                 1.5704,                  1.173,                0.86777,                0.20189,                0.83278,                0.77565,                0.39864,                  2.968,                0.99125,             0.00034545,             0.00034545,             0.00034545
                      7,                0.59869,                 1.4405,                 1.1436,                      1,                0.77223,                0.96167,                0.87755,                0.43056,                 2.8371,                  1.017,             0.00039662,             0.00039662,             0.00039662
                      8,                0.72964,                 1.4078,                 1.2233,                      1,                0.54693,                0.97833,                0.82423,                0.44331,                  2.974,                 1.0095,             0.00044515,             0.00044515,             0.00044515
                      9,                0.63953,                 1.4753,                 1.1825,                      1,                0.47349,                0.96643,                0.89882,                 0.4447,                 2.9668,                 1.0417,             0.00049103,             0.00049103,             0.00049103
                     10,                0.63181,                 1.3795,                 1.1722,                      1,                0.71151,                0.95056,                 0.8931,                0.38586,                 2.8926,                0.97741,             0.00053428,             0.00053428,             0.00053428
                     11,                0.65682,                 1.3335,                 1.1903,                0.83711,                0.90044,                0.93786,                0.86459,                0.41563,                 2.4467,                0.99804,             0.00057488,             0.00057488,             0.00057488
                     12,                0.68514,                 1.3406,                 1.2161,                0.86306,                0.76609,                0.93786,                0.84589,                0.41174,                 2.4875,                 1.0151,             0.00061285,             0.00061285,             0.00061285
                     13,                 0.5654,                 1.2719,                 1.1208,                      1,                0.69739,                0.97833,                0.87394,                0.52534,                 2.6568,                 1.1122,             0.00064817,             0.00064817,             0.00064817
                     14,                0.68823,                  1.345,                 1.1746,                0.88441,                 0.9835,                0.96167,                0.84239,                0.50041,                 2.4081,                  1.121,             0.00068085,             0.00068085,             0.00068085
                     15,                0.55584,                 1.1582,                 1.1006,                0.86876,                      1,                0.97833,                0.89332,                0.44208,                 1.9971,                 1.0652,              0.0007109,              0.0007109,              0.0007109
                     16,                   0.61,                 1.1584,                 1.1397,                0.94771,                      1,                  0.995,                 0.8993,                0.46362,                 1.9703,                 1.1208,              0.0007383,              0.0007383,              0.0007383
                     17,                0.57237,                 1.1314,                  1.145,                0.86371,                      1,                0.96167,                0.84155,                0.48541,                 1.8755,                 1.1173,             0.00076306,             0.00076306,             0.00076306
                     18,                0.71347,                 1.2181,                 1.2527,                0.84293,                      1,                0.96167,                 0.7385,                 0.6711,                 1.9741,                  1.289,             0.00078518,             0.00078518,             0.00078518
                     19,                0.59456,                 1.1308,                 1.1202,                0.96027,                      1,                  0.995,                0.81288,                0.59568,                 1.9456,                 1.2636,             0.00080466,             0.00080466,             0.00080466
                     20,                   0.67,                 1.2144,                 1.1541,                0.98274,                0.96153,                  0.995,                0.90455,                0.48356,                 1.8485,                 1.1368,              0.0008215,              0.0008215,              0.0008215
                     21,                0.62715,                 1.1397,                 1.1712,                0.90446,                0.99538,                0.98625,                0.79141,                 0.5995,                 1.8679,                 1.2468,              0.0008357,              0.0008357,              0.0008357
                     22,                0.63316,                 1.1186,                 1.1582,                0.92093,                0.99776,                0.98625,                0.80815,                0.61932,                 1.8295,                 1.1937,             0.00084726,             0.00084726,             0.00084726
                     23,                0.58497,                 1.1791,                 1.1248,                0.94387,                0.92857,                  0.974,                0.85053,                0.58488,                 1.7425,                 1.1132,             0.00085618,             0.00085618,             0.00085618
                     24,                0.54344,                 1.0917,                  1.142,                0.98903,                0.93482,                  0.995,                0.86666,                0.52249,                 1.7493,                 1.0782,             0.00086246,             0.00086246,             0.00086246
                     25,                0.65576,                 1.1149,                  1.171,                0.94979,                0.92857,                0.98625,                0.81629,                0.60638,                  1.794,                 1.2047,             0.00086609,             0.00086609,             0.00086609
                     26,                0.59171,                 1.0235,                 1.1524,                0.90626,                0.83348,                  0.974,                 0.7582,                0.75316,                 2.1308,                 1.3643,             0.00084184,             0.00084184,             0.00084184
                     27,                0.67994,                 1.0569,                 1.1767,                 0.7502,                0.81236,                0.92956,                0.56866,                0.96452,                 2.4139,                 1.6258,             0.00080883,             0.00080883,             0.00080883
                     28,                0.64833,                 1.1185,                 1.1768,                0.77322,                0.90315,                0.96643,                0.64509,                0.82707,                 2.1565,                 1.5457,             0.00077582,             0.00077582,             0.00077582
                     29,                0.54489,                 1.0133,                 1.0886,                0.99154,                0.92742,                0.98625,                0.83368,                0.58018,                 1.6486,                 1.1478,             0.00074282,             0.00074282,             0.00074282
                     30,                 0.4928,                 1.0223,                 1.0969,                0.98647,                0.95315,                  0.995,                0.84629,                0.50415,                 1.5386,                 1.0848,             0.00070981,             0.00070981,             0.00070981
                     31,                0.59637,                0.98056,                 1.0966,                0.94967,                0.99312,                  0.995,                0.91858,                0.40181,                 1.3183,                0.95569,              0.0006768,              0.0006768,              0.0006768
                     32,                  0.576,                0.98267,                 1.1311,                0.96268,                0.99471,                  0.995,                0.91847,                0.36602,                 1.1604,                0.91345,              0.0006438,              0.0006438,              0.0006438
                     33,                 0.5015,                 1.0186,                 1.0426,                0.97947,                      1,                  0.995,                0.90664,                0.32489,                 1.1171,                0.88578,             0.00061079,             0.00061079,             0.00061079
                     34,                0.58309,                0.95373,                 1.0937,                0.98655,                      1,                  0.995,                0.96059,                0.31503,                 1.1018,                0.88537,             0.00057778,             0.00057778,             0.00057778
                     35,                0.51478,                0.91587,                 1.1046,                0.98827,                      1,                  0.995,                0.94815,                0.31128,                 1.0933,                0.88573,             0.00054478,             0.00054478,             0.00054478
                     36,                0.57682,                0.91379,                 1.1149,                0.99068,                      1,                  0.995,                0.95745,                0.32245,                 1.0379,                0.88851,             0.00051177,             0.00051177,             0.00051177
                     37,                0.48095,                0.88482,                 1.0481,                0.98963,                      1,                  0.995,                0.94152,                0.33752,                 1.0045,                0.90048,             0.00047876,             0.00047876,             0.00047876
                     38,                0.54747,                0.87503,                 1.0719,                0.98745,                      1,                  0.995,                0.94152,                0.33328,                  1.035,                0.89439,             0.00044576,             0.00044576,             0.00044576
                     39,                0.47128,                0.81305,                 1.0324,                0.98826,                      1,                  0.995,                0.94851,                0.33447,                 1.0174,                0.89049,             0.00041275,             0.00041275,             0.00041275
                     40,                0.50708,                0.86886,                 1.0237,                 0.9891,                      1,                  0.995,                0.95014,                0.32298,                 0.9869,                0.88344,             0.00037974,             0.00037974,             0.00037974
                     41,                0.28974,                 1.0679,                0.92466,                0.98985,                      1,                  0.995,                0.95103,                0.33014,                0.96561,                0.88879,             0.00034674,             0.00034674,             0.00034674
                     42,                 0.3049,                0.98991,                0.91778,                0.99083,                      1,                  0.995,                0.95103,                0.37738,                 1.0133,                0.93555,             0.00031373,             0.00031373,             0.00031373
                     43,                0.26748,                0.94622,                0.86075,                0.99075,                      1,                  0.995,                 0.9457,                0.37852,                 1.0518,                 0.9481,             0.00028072,             0.00028072,             0.00028072
                     44,                0.27441,                0.93883,                0.86348,                0.99073,                      1,                  0.995,                0.93351,                0.36027,                 1.0579,                0.93724,             0.00024772,             0.00024772,             0.00024772
                     45,                0.26199,                0.99479,                 0.8523,                0.98722,                      1,                  0.995,                0.94715,                0.33616,                 1.0642,                0.90336,             0.00021471,             0.00021471,             0.00021471
                     46,                0.24722,                0.92972,                0.86018,                0.98698,                      1,                  0.995,                0.95514,                0.32063,                 1.0123,                0.87889,              0.0001817,              0.0001817,              0.0001817
                     47,                0.24603,                0.91205,                0.86759,                0.98726,                      1,                  0.995,                0.95514,                0.32325,                0.97624,                0.87926,              0.0001487,              0.0001487,              0.0001487
                     48,                0.25818,                 0.8958,                0.85665,                0.98869,                      1,                  0.995,                0.95414,                0.31771,                0.94421,                0.87887,             0.00011569,             0.00011569,             0.00011569
                     49,                0.25466,                0.87514,                0.85459,                0.98959,                      1,                  0.995,                0.95414,                0.30819,                0.91479,                0.87539,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.24831,                0.84875,                0.86527,                0.99006,                      1,                  0.995,                0.95414,                0.30167,                0.90446,                0.87097,             4.9677e-05,             4.9677e-05,             4.9677e-05
